source,target,lift
coronaviruspandemic,coronavirusupdate,105.2
corona,coronainfoch,91.32
coronainfoch,us,86.38
vaccine,russia,37.0
coronainfoch,uk,31.32
corona,us,31.05
indiafightscorona,staysafe,25.08
odisha,breaking,22.56
masks,mask,16.02
usa,russia,14.58
corona,uk,11.57
indiafightscorona,coronavirusupdates,10.21
covid,covid_19,9.65
covid,covidー19,9.46
coronavirus,coronavirusupdate,9.35
socialdistancing,mask,9.35
china,russia,9.12
socialdistancing,masks,9.1
covid_19,covidー19,8.86
china,us,8.85
coronavirus,coronaviruspandemic,8.37
india,usa,8.32
us,uk,7.69
usa,uk,7.59
trump,usa,7.51
wearamask,socialdistancing,7.28
covid,trump,7.16
china,usa,6.98
covid_19,covidiots,6.93
india,china,6.89
wearamask,staysafe,6.75
breaking,russia,6.46
covidiots,covidー19,6.37
covid,covidiots,5.79
vaccine,china,5.63
covid_19,mask,5.2
corona,covidー19,5.14
usa,covidー19,5.09
india,russia,5.08
wearamask,covidiots,5.02
usa,us,4.98
staysafe,socialdistancing,4.67
staysafe,mask,4.59
wearamask,mask,4.46
covid,china,4.42
coronavirus,covid_19,4.31
pandemic,covidー19,4.17
pandemic,health,4.02
corona,covid_19,3.98
india,coronainfoch,3.83
vaccine,us,3.79
pandemic,covid,3.64
covid,corona,3.61
health,mask,3.46
pandemic,usa,3.41
coronavirus,covid,3.4
corona,staysafe,3.32
russia,us,3.23
wearamask,masks,3.22
lockdown,uk,3.2
vaccine,usa,3.17
covid,india,3.16
lockdown,masks,3.14
wearamask,covidー19,3.08
pandemic,trump,3.05
